Date,team,opp,team_elo_i,opp_elo_i,prediction
08/02/2014,Saracens,London Irish,1720,1342,94.5
01/11/2009,Wasps,Leeds Carnegie,1584,1218,94.1
27/09/2014,Leicester Tigers,London Irish,1667,1366,91.7
25/11/2016,Northampton Saints,Newcastle Falcons,1579,1282,91.4
30/10/1999,Northampton Saints,Gloucester,1596,1302,91.3
12/02/2000,Northampton Saints,Bristol Rugby,1619,1329,91.1
03/09/2011,Leicester Tigers,Exeter Chiefs,1655,1370,90.9
18/04/2010,London Irish,Leeds Carnegie,1545,1275,90.1
30/10/2010,Saracens,Exeter Chiefs,1576,1307,90.1
14/02/2016,Saracens,Wasps,1739,1476,89.8
